ID (empty = will be removed in conversion),Name,Beschreibung,Name,Beschreibung,Thema,Zielgruppe (löschen?),Veröffentlichungsdatum (Date Published),Aktualisierungsdatum (Date Modified),Sprache (ISO 639-1),Website of service,Beschrieben bei (described at URL),Betreut durch (maintained by),Urheber,Verwendet von (used by),Quellcode Repositorium,educationalLevel,Schnittstelle / API Dokumentation,Lizenz,Datenmodell (complies with),Dateiformate,Downloadlink ttl,Downloadlink json,Downloadlink XML,Downloadlink,"DUPLIKATSPALTE (ZUM GENERIEREN, SPÄTER LÖSCHEN)",rawVocab,Type,Schlagworte,Notizen
7,Hochschulfächersystematik,"Diese SKOS-Klassifikation basiert auf der Destatis-""Systematik der Fächergruppen, Studienbereiche und Studienfächer"".",University subject system,"This SKOS classification is based on the Destatis “system of subject groups, study areas and subjects”.",Fach- und Themenzuordnung,,2019-12-11,,de,,https://w3id.org/kim/hochschulfaechersystematik/scheme,DINI-AG-KIM,,,https://github.com/dini-ag-kim/hochschulfaechersystematik,Hochschule,,,SKOS,text/turtle,https://raw.githubusercontent.com/dini-ag-kim/hochschulfaechersystematik/refs/heads/master/hochschulfaechersystematik.ttl,https://w3id.org/kim/hochschulfaechersystematik/scheme.json,,,https://w3id.org/kim/hochschulfaechersystematik/scheme,,http://www.wikidata.org/entity/Q1469830,,
8,ELIXIER-Systematik,Systematik des Bildungsservers.,ELIXIR system,Systematics of the educational server.,Fach- und Themenzuordnung,,,,de,https://www.bildungsserver.de/elixier/,https://www.bildungsserver.de/elixier/elixiersystematikliste.php,DIPF,,,,Schule,https://www.bildungsserver.de/elixier/Elixier-API.pdf,,,text/plain,,,,,https://web.archive.org/web/20221006161235/https://www.bildungsserver.de/elixier/elixiersystematikliste.php,elixier.txt,http://www.wikidata.org/entity/Q1469831,,kein SKOS Vokabular
9,Sachgebietssystematik AG-MUD,Die bundeseinheitliche Sachgebietssystematik ordnet die Medien den wesentlichen Schulfächern und anderen wichtigen Bildungszielen und -bereichen zu. SachgebietssystematikIhre hierarchische Gliederung erlaubt die Selektion und den Ausdruck von Medienlisten und Verzeichnissen mit unterschiedlicher Informationsdichte. Für Medienzentren und Schulen ist sie zur Strukturierung des eigenen Bestands unverzichtbar. Die bundeseinheitliche Sachgebietssystematik wurde in den 1990er Jahren von der AG Mediendistribution und Dokumentation entwickelt und wird ständig aktualisiert.,Subject area systematics AG-MUD,The nationwide subject area classification assigns the media to the main school subjects and other important educational goals and areas. Subject Area SystematicsIts hierarchical structure allows the selection and printing of media lists and directories with different information densities. It is indispensable for media centers and schools to structure their own inventory. The nationwide subject area system was developed in the 1990s by the AG Media Distribution and Documentation and is constantly updated.,Fach- und Themenzuordnung,,,,de,,https://vocabs.sodix.de/sodix/educational/sachgebietssystematik/sachgebietssystematik,SODIX/FWU,,,,Schule,,,SKOS,text/turtle,,https://vocabs.sodix.de/sodix/educational/sachgebietssystematik/sachgebietssystematik.json,,,https://vocabs.sodix.de/sodix/educational/sachgebietssystematik/sachgebietssystematik,,http://www.wikidata.org/entity/Q1469832,,basiert auf LOM-EAF
10,Taxonomie von Lehrplanthemen,Themenbaum von Lehrplanthemen.,Taxonomy of curriculum topics,Topic tree of curriculum topics.,Fach- und Themenzuordnung,,,,de,,http://w3id.org/openeduhub/vocabs/oeh-topics/5e40e372-735c-4b17-bbf7-e827a5702b57,WirLernenOnline,,,https://github.com/openeduhub/oeh-metadata-vocabs,Schule,,,SKOS,text/turtle,https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/oehTopics.ttl,https://w3id.org/openeduhub/vocabs/oeh-topics/5e40e372-735c-4b17-bbf7-e827a5702b57.json,,,http://w3id.org/openeduhub/vocabs/oeh-topics/5e40e372-735c-4b17-bbf7-e827a5702b57,,http://www.wikidata.org/entity/Q1469833,,
11,Subjects: Re3Data.org,Themenkatalog der Registry of Research Data Repositories.,Subjects: Re3Data.org,Topic catalog of the Registry of Research Data Repositories.,Fach- und Themenzuordnung,,,,de,,https://www.re3data.org/browse/by-subject/,re3data,,,,Bildungsbereichsübergreifend,,,,,,,,,https://www.re3data.org/browse/by-subject/,re3data.txt,http://www.wikidata.org/entity/Q1469834,,kein SKOS Vokabular
12,Subjects MARC21,"Library of Congress Subject Headings (LCSH) has been actively maintained since 1898 to catalog materials held at the Library of Congress. By virtue of cooperative cataloging other libraries around the United States also use LCSH to provide subject access to their collections. In addition LCSH is used internationally, often in translation. LCSH in this service includes all Library of Congress Subject Headings, free-floating subdivisions (topical and form), Genre/Form headings, Children's (AC) headings, and validation strings* for which authority records have been created. The content includes a few name headings (personal and corporate), such as William Shakespeare, Jesus Christ, and Harvard University, and geographic headings that are added to LCSH as they are needed to establish subdivisions, provide a pattern for subdivision practice, or provide reference structure for other terms. This content is expanded beyond the print issue of LCSH (the ""red books"") with inclusion of validation strings. *Validation strings: Some authority records are for headings that have been built by adding subdivisions. These records are the result of an ongoing project to programmatically create authority records for valid subject strings from subject heading strings found in bibliographic records. The authority records for these subject strings were created so the entire string could be machine-validated. The strings do not have broader, narrower, or related terms.",Subjects MARC21,"Library of Congress Subject Headings (LCSH) has been actively maintained since 1898 to catalog materials held at the Library of Congress. By virtue of cooperative cataloging other libraries around the United States also use LCSH to provide subject access to their collections. In addition LCSH is used internationally, often in translation. LCSH in this service includes all Library of Congress Subject Headings, free-floating subdivisions (topical and form), Genre/Form headings, Children's (AC) headings, and validation strings* for which authority records have been created. The content includes a few name headings (personal and corporate), such as William Shakespeare, Jesus Christ, and Harvard University, and geographic headings that are added to LCSH as they are needed to establish subdivisions, provide a pattern for subdivision practice, or provide reference structure for other terms. This content is expanded beyond the print issue of LCSH (the ""red books"") with inclusion of validation strings. *Validation strings: Some authority records are for headings that have been built by adding subdivisions. These records are the result of an ongoing project to programmatically create authority records for valid subject strings from subject heading strings found in bibliographic records. The authority records for these subject strings were created so the entire string could be machine-validated. The strings do not have broader, narrower, or related terms.",Fach- und Themenzuordnung,,,,de,,http://id.loc.gov/authorities/subjects,Library Of Congress,,,,Bildungsbereichsübergreifend,,,,,,,,,http://id.loc.gov/authorities/subjects,,http://www.wikidata.org/entity/Q1469835,,
13,EuroVoc,Mehrsprachiger und multidisziplinärer Thesaurus der EU,EuroVoc,EU multilingual and multidisciplinary thesaurus,Fach- und Themenzuordnung,,,,de,,https://eur-lex.europa.eu/browse/eurovoc.html,Europäische Union,,,,Bildungsbereichsübergreifend,,,,,,,,,https://eur-lex.europa.eu/browse/eurovoc.html,,http://www.wikidata.org/entity/Q1469836,,
14,UNESCO Thesaurus,"zur thematischen Analyse und Auffinden von Dokumenten anhand multidisziplinärer Terminologie, bspw. auch: Wissenschaftsdisziplinen, u.a. verfügbar als JSON-LD, Turtle, RDF/XML.",UNESCO Thesaurus,"for thematic analysis and retrieval of documents using multidisciplinary terminology, e.g. also: scientific disciplines, available as JSON-LD, Turtle, RDF/XML, among others.",Fach- und Themenzuordnung,,,,de,,https://vocabularies.unesco.org/browser/thesaurus/en/,UNESCO,,,,Bildungsbereichsübergreifend,,CC-BY-SA,SKOS,"text/turtle, application/rdf+xml",https://vocabularies.unesco.org/exports/thesaurus/latest/unesco-thesaurus.ttl,,https://vocabularies.unesco.org/exports/thesaurus/latest/unesco-thesaurus.rdf,,https://vocabularies.unesco.org/browser/thesaurus/en/,,http://www.wikidata.org/entity/Q1469837,,
15,Wissenschafts-/ Kunstzweige,Vokabular von Wissenschafts- und Kunstzweigen.,branches of science/art,Vocabulary of branches of science and art.,Fach- und Themenzuordnung,,-,,de,,https://voc.uni-ak.ac.at/skosmos/disciplines/de/,Universität für angewandte Kunst Wien,,,,Bildungsbereichsübergreifend,,,SKOS,"text/turtle, application/rdf+xml, application/ld+json",https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=text/turtle,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=application/ld%2Bjson,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=application/rdf%2Bxml,,https://voc.uni-ak.ac.at/skosmos/disciplines/de/,,http://www.wikidata.org/entity/Q1469838,,
16,Studienrichtungen,Verzeichnis von Studienrichtungen.,Fields of study,Directory of fields of study.,Fach- und Themenzuordnung,,-,,de,,http://base.uni-ak.ac.at/vocabulary/study_programmes,Universität für angewandte Kunst Wien,,,,Hochschule,,,SKOS,"text/turtle, application/rdf+xml, application/ld+json",https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=text/turtle,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=application/ld%2Bjson,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=application/rdf%2Bxml,,http://base.uni-ak.ac.at/vocabulary/study_programmes,,http://www.wikidata.org/entity/Q1469839,,
17,Historische Studienrichtungen,Verzeichnis historischer Studienrichtungen.,Historical fields of study,Directory of historical fields of study.,Fach- und Themenzuordnung,,-,,de,,https://voc.uni-ak.ac.at/skosmos/basevoc/en/page/historic_study_programmes,Universität für angewandte Kunst Wien,,,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fstudy_programmes&format=text/turtle,Hochschule,,,SKOS,"text/turtle, application/ld+json, application/rdf+xml",https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fhistoric_study_programmes&format=text/turtle,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fhistoric_study_programmes&format=application/ld%2Bjson,https://voc.uni-ak.ac.at/skosmos/rest/v1/basevoc/data?uri=http%3A%2F%2Fbase.uni-ak.ac.at%2Fvocabulary%2Fhistoric_study_programmes&format=application/rdf%2Bxml,,https://voc.uni-ak.ac.at/skosmos/basevoc/en/page/historic_study_programmes,,http://www.wikidata.org/entity/Q1469840,,
18,"European Skills Competencies, and Occupations (ESCO)",Keine Beschreibung verfügbar.,"European Skills Competencies, and Occupations (ESCO)",No description available.,Fach- und Themenzuordnung,,,,de,,https://esco.ec.europa.eu/de,Europäische Union,,,,Bildungsbereichsübergreifend,https://esco.ec.europa.eu/en/use-esco/use-esco-services-api,,,,,,,,https://esco.ec.europa.eu/de,,http://www.wikidata.org/entity/Q1469841,,
19,Sprachniveaustufen,", veröffentlicht durch WLO, basierend auf dem Gemeinsamen Europäischen Referenzrahmen für Sprachen (DAAD 2024) (Glaboniat and Europarat 2010) (Trim et al. 2010) / Common European Framework of Reference for Languages (CEFR), herausgegeben vom Europarat",Language levels,", published by WLO, based on the Common European Framework of Reference for Languages ​​(DAAD 2024) (Glaboniat and Council of Europe 2010) (Trim et al. 2010) / Common European Framework of Reference for Languages ​​(CEFR), published by the Council of Europe",Sprachen,,,,de,,http://w3id.org/openeduhub/vocabs/languageLevel/,WirLernenOnline,,,,Bildungsbereichsübergreifend,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/languageLevel.ttl,http://w3id.org/openeduhub/vocabs/languageLevel/index.json,,,http://w3id.org/openeduhub/vocabs/languageLevel/,,http://www.wikidata.org/entity/Q1469842,,
20,Digital Competence Framework for Educators (DigCompEdu),"Der Europäische Rahmen für die digitale Kompetenz Lehrender richtet sich an Lehrende
auf allen Bildungsebenen, von der frühen Kindheit bis zur Hochschul- und
Erwachsenenbildung, einschließlich allgemeiner und beruflicher Bildung und Ausbildung,
Sonderpädagogik und nicht formaler Lernkontexte. Ziel ist es, einen allgemeinen
Bezugsrahmen für Entwickler digitaler Kompetenzmodelle bereitzustellen, d.h. Für
Mitgliedstaaten, Regionalregierungen, relevante nationale und regionale Agenturen,
Bildungsorganisationen selbst sowie öffentliche oder private Anbieter von
Berufsausbildungen",Digital Competence Framework for Educators (DigCompEdu),"The European Framework for Digital Competence for Teachers is aimed at teachers
at all levels of education, from early childhood to higher education and
adult education, including general and vocational education and training,
Special education and non-formal learning contexts. The aim is to have a general one
To provide a framework of reference for developers of digital competency models, i.e. For
Member States, regional governments, relevant national and regional agencies,
Educational organizations themselves as well as public or private providers of
Vocational training",Kompetenzen,,,,de,,http://w3id.org/openeduhub/vocabs/digCompEdu/,WirLernenOnline,"(European Commission. Joint Research Centre., Redecker, and Punie 2017)",,,Schule,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/digCompEdu.ttl,http://w3id.org/openeduhub/vocabs/digCompEdu/index.json,,,http://w3id.org/openeduhub/vocabs/digCompEdu/,,http://www.wikidata.org/entity/Q1469843,," (European Commission. Joint Research Centre., Redecker, and Punie 2017), Open Edu Hub / WirLernenOnline / ComeIn"
21,"Orientierungsrahmen für die Lehrerausbildung und Lehrerfortbildung in NRW,","Mit dem Orientierungsrahmen hat das Land Nordrhein-Westfalen eine verbindliche Grundlage für die Lehreraus- und Lehrerfortbildung in der digitalisierten Welt geschaffen. Anknüpfend an die bekannten Handlungsfelder für Lehrerinnen und Lehrer – Unterrichten, Erziehen, Lernen und Leisten fördern, Beraten und Schule entwickeln – zeigt der Orientierungsrahmen auf, welche neuen – unter den Bedingungen der Digitalisierung künftig aber zentralen – Kompetenzen, es auszubilden gilt. Der Orientierungsrahmen macht transparent, welche pädagogischen und didaktischen Kompetenzen das Land bei Lehrkräften für grundlegend hält, den Herausforderungen und Chancen der Digitalisierung gestaltend zu begegnen. Für die Lehreraus- und Lehrerfortbildung sind damit zukunftsweisende Weichen gestellt worden.","Orientation framework for teacher training and teacher training in North Rhine-Westphalia,","With the orientation framework, the state of North Rhine-Westphalia has created a binding basis for teacher training and further education in the digitalized world. Based on the well-known fields of action for teachers - teaching, educating, promoting learning and achievement, advising and developing schools - the orientation framework shows which new - but central in the future under the conditions of digitalization - competencies that need to be trained. The orientation framework makes it transparent which pedagogical and didactic competencies the state considers to be essential for teachers to respond to the challenges and opportunities of digitalization. This paves the way for the future of teacher training and further education.",digitalisierungsbezogene Kompetenzen,,,,de,,http://w3id.org/openeduhub/vocabs/orientierungsrahmenNRW/,WirLernenOnline,Eickelmann 2020,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/orientierungsrahmenNRW.ttl,http://w3id.org/openeduhub/vocabs/orientierungsrahmenNRW/index.json,,,http://w3id.org/openeduhub/vocabs/orientierungsrahmenNRW/,,http://www.wikidata.org/entity/Q1469844,,
22,4D Competencies Framework,"Der vierdimensionale (4D) Bildungsrahmen der CCR wurde so benannt, um zu verdeutlichen, dass die Schüler von heute sich in vier Dimensionen entwickeln müssen - Wissen, Fähigkeiten, Charakter und Meta-Lernen - um sich selbst und der Gesellschaft so gut wie möglich zu dienen. Das Kernprinzip einer 4D-Bildung besteht darin, die Wissensvermittlung mit den anderen drei Dimensionen zu verknüpfen. Aber wie wird das gemacht? Indem diese drei Dimensionen in einen Rahmen von Kompetenzen und Teilkompetenzen unterteilt werden, können Lehrkräfte ihren Unterricht effektiver, zielgerichteter, logischer und relevanter gestalten.",4D Competencies Framework,"The CCR's Four Dimensional (4D) Educational Framework is so named to illustrate that today's students must develop in four dimensions - knowledge, skills, character and meta-learning - to best serve themselves and society. The core principle of a 4D education is to link knowledge transfer with the other three dimensions. But how is this done? By dividing these three dimensions into a framework of competencies and sub-competencies, teachers can make their teaching more effective, targeted, logical and relevant.",digitalisierungsbezogene Kompetenzen,,Januar 2024,,de,,https://curriculumredesign.org/framework/,Centre for Curriculum Redesign,CCR 2020,,,Bildungsbereichsübergreifend,,,,,,,,,https://curriculumredesign.org/framework/,,http://www.wikidata.org/entity/Q1469845,,
23,"UDE-Modell: Ein integratives Modell digitalisierungsbezogener
    Kompetenzen für die
    Lehramtsausbildung","Das UDE-Modell beschreibt sowohl grundlegende Voraussetzungen als auch institutionelle und unterrichtsbezogene Aspekte der digitalisierungsbezogenen Kompetenzen von Lehrkräften.
Den inneren Kern des Modells bildet die Förderung der fachspezifischen und digitalisierungsbezogenen Kompetenzen von Schüler*innen. Alle umliegenden Bereiche sind darauf ausgerichtet.","UDE model: An integrative model of digitalization-related
    Competencies for the
    Teacher training","The UDE model describes both basic requirements and institutional and teaching-related aspects of teachers' digitalization-related skills.
The inner core of the model is the promotion of students’ subject-specific and digitalization-related skills. All surrounding areas are geared towards this.",digitalisierungsbezogene Kompetenzen,,,,de,,https://w3id.org/comein/vocabs/ude-modell/,ComeIn,,,https://github.com/ComeIn-NRW/vocabs/tree/master,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/ComeIn-NRW/vocabs/refs/heads/master/competences/UDE-Modell.ttl,https://comein-nrw.github.io/vocabs/w3id.org/comein/vocabs/ude-modell/,,,https://w3id.org/comein/vocabs/ude-modell/,,http://www.wikidata.org/entity/Q1469846,,- https://www.uni-due.de/imperia/md/images/e-learning/ad_didl_2020_v.05_1_.pdf
24,"Kompetenzen in der digitalen Welt
  (KMK)","Die Digitalisierung und Mediatisierung haben in allen Bereichen unserer Lebens- und Arbeits-
welt zu entscheidenden Veränderungen geführt. Diese gehen über einen rein technischen
Fortschritt hinaus und führen zu einem breit angelegten kulturellen und gesellschaftlichen
Wandel, der sich auf das schulische Lehren und Lernen und auf die Bewältigung und Gestal-
tung von Lebens- bzw. Arbeitsprozessen von Kindern, Jugendlichen und jungen Erwachsenen
auswirkt.","Competencies in the digital world
  (KMK)","Digitalization and mediatization have had an impact on all areas of our lives and work.
led to decisive changes in the world. These go beyond a purely technical one
progress and lead to a broad cultural and social
Change that affects school teaching and learning and coping and shaping
ment of life and work processes of children, adolescents and young adults
effects.",digitalisierungsbezogene Kompetenzen,,,,de,,http://w3id.org/openeduhub/vocabs/digitalCompetencies/,WirLernenOnline,,,,,,,SKOS,"application/json, text/turtle",https://raw.githubusercontent.com/openeduhub/oeh-metadata-vocabs/refs/heads/master/digitalCompetencies.ttl,http://w3id.org/openeduhub/vocabs/digitalCompetencies/index.json,,,http://w3id.org/openeduhub/vocabs/digitalCompetencies/,,http://www.wikidata.org/entity/Q1469847,,
